"No.","Time","Source","Destination","Protocol","Length","Info","MAC src","MAC dst"
"870","25.808884896","127.127.255.255","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"871","25.831967964","127.127.127.0","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"873","25.921730753","75.150.197.107","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"874","25.922173136","49.54.203.162","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"875","25.926591891","127.127.255.255","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"880","25.960839065","61.102.96.46","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"881","25.992124514","99.99.99.99","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"884","26.005705328","12.34.56.78","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"885","26.016537036","4.118.70.176","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"886","26.048077253","192.168.127.127","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"887","26.079550230","78.87.87.87","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"888","26.083156554","99.99.99.99","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"889","26.108104538","170.2.151.175","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"890","26.139258076","127.127.127.0","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"891","26.142831372","127.127.255.255","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"893","26.168989622","21.215.119.244","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"895","26.180178541","73.62.250.22","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"896","26.199239662","172.255.1.2","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"898","26.230901117","127.127.255.255","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"900","26.241349961","127.127.255.255","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"901","26.258126855","191.66.28.198","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"904","26.277913518","172.255.1.2","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"906","26.306784122","78.87.87.87","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"907","26.323985849","99.99.99.99","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"909","26.329473279","40.2.53.13","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"911","26.350115993","133.130.83.43","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"912","26.350522196","154.215.140.30","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"916","26.397379230","215.100.215.168","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"917","26.427314114","104.87.187.186","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"918","26.435520509","192.168.127.127","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"919","26.471937701","172.255.1.2","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"920","26.516860864","99.99.99.99","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"921","26.536676593","26.206.200.64","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"922","26.559097823","127.127.127.0","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"923","26.574235431","49.144.147.239","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"924","26.585216410","20.30.68.145","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"925","26.612725658","90.82.157.52","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"926","26.632621585","127.127.127.0","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"927","26.650040405","40.162.251.70","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"928","26.669573295","192.168.127.127","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"929","26.704341422","78.78.78.78","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"930","26.713410115","107.97.67.184","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"931","26.726650520","242.69.152.93","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"932","26.745745365","99.99.99.99","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"934","26.783035711","131.183.163.195","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"935","26.799174049","12.34.56.78","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"937","26.821972414","127.127.255.255","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"938","26.842936215","254.97.210.197","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"942","26.864760386","78.78.78.78","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"943","26.886449276","78.87.87.87","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"944","26.908319250","119.81.28.203","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"945","26.917885264","7.0.64.207","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"946","26.936288899","78.87.87.87","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"947","26.957996277","228.52.251.221","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"948","26.968223368","218.233.98.35","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"949","26.988807110","222.201.211.214","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"950","27.011145959","69.177.122.201","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"951","27.012359090","101.74.191.255","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"954","27.052998972","78.78.78.78","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"955","27.113653458","99.99.99.99","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"956","27.123515777","12.34.56.78","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"957","27.152759220","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"958","27.158264027","192.168.127.127","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"959","27.198945746","172.255.1.2","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"960","27.200732625","77.74.135.93","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"963","27.210098254","71.189.94.69","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"964","27.216405065","135.35.50.109","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"965","27.241654873","40.244.66.22","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"966","27.246740293","192.168.127.127","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"970","27.296887541","127.127.255.255","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"972","27.314614943","220.134.16.169","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"973","27.342913459","44.169.243.19","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"974","27.380849353","60.20.240.38","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"975","27.389186123","237.47.250.128","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"976","27.416564486","127.127.127.0","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"977","27.427454655","151.56.134.235","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"978","27.432079069","78.78.78.78","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"979","27.446385679","78.87.87.87","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"980","27.478550441","78.78.78.78","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"981","27.519900703","99.99.99.99","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"982","27.525104763","127.127.127.0","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"983","27.539256389","192.168.127.127","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"984","27.542076936","12.34.56.78","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"985","27.561697070","12.34.56.78","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"986","27.612092693","78.87.87.87","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"987","27.633384495","99.99.99.99","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"988","27.647791496","172.255.1.2","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"989","27.649108260","53.221.193.159","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"990","27.707571806","47.224.192.189","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"991","27.711387071","32.167.16.103","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"992","27.721673629","79.171.196.103","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"993","27.754844098","7.0.183.91","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"994","27.755497543","172.255.1.2","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"995","27.786887745","78.87.87.87","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"996","27.817402335","127.127.127.0","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"997","27.861662646","153.120.212.81","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"998","27.878728646","205.20.208.132","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"999","27.887152238","222.94.221.230","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"1000","27.925861660","28.183.99.13","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"1001","27.933322570","99.99.99.99","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"1002","27.944762291","192.168.127.127","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"1004","27.961061594","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"1005","27.976336349","59.104.232.252","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"1006","27.999311901","132.32.122.57","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"1007","28.011544305","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"1008","28.033342134","37.237.181.216","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"1009","28.040386279","172.255.1.2","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"1010","28.049985455","91.243.100.208","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"1011","28.067845751","99.99.99.99","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"1012","28.077666873","57.222.223.25","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"1013","28.136289211","8.143.146.200","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"1014","28.159845325","12.34.56.78","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"1015","28.198850540","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"1016","28.218494924","78.87.87.87","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"1017","28.231724639","119.201.8.214","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"1019","28.287348960","127.127.127.0","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"1020","28.339936965","25.78.171.160","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"1021","28.378776773","192.168.127.127","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"1022","28.391202770","127.127.127.0","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"1023","28.395746480","127.127.127.0","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"1024","28.415752835","78.78.78.78","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"1025","28.447679112","197.12.53.180","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"1026","28.449329018","162.33.242.153","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"1027","28.453749587","44.195.7.7","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"1028","28.473317490","172.255.1.2","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"1029","28.491197461","99.99.99.99","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"1030","28.496730704","87.251.15.244","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"1031","28.501999704","99.99.99.99","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"1033","28.543835725","54.49.136.199","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"1034","28.555592987","181.117.84.241","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"1035","28.559013915","120.114.59.236","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"1036","28.561752516","127.127.255.255","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"1037","28.563504789","78.78.78.78","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"1038","28.582934995","172.255.1.2","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"1039","28.597204515","215.216.164.161","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"1042","28.629413251","14.87.253.201","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"1043","28.631071968","78.78.78.78","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"1044","28.711385332","99.99.99.99","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"1045","28.738906109","127.127.255.255","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"1046","28.803438627","71.0.252.144","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"1047","28.822599402","99.99.99.99","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"1048","28.844137303","127.127.127.0","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"1049","28.872775301","78.78.78.78","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"1050","28.891162644","101.142.217.39","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"1051","28.917110540","78.78.78.78","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"1052","28.954287026","127.127.127.0","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"1053","28.954664205","248.47.24.29","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"1054","28.955165729","127.127.127.0","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"1055","28.955432035","247.158.65.15","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"1056","28.981260628","172.255.1.2","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"1057","28.997202314","172.255.1.2","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"1058","29.053707681","78.78.78.78","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"1059","29.055563349","78.87.87.87","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"1060","29.055881759","57.182.209.235","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"1063","29.092017066","128.38.189.56","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"1064","29.176944817","78.78.78.78","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"1065","29.189994000","165.75.7.4","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"1066","29.216957927","192.168.127.127","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"1067","29.231380210","78.87.87.87","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"1068","29.233687408","78.87.87.87","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"1069","29.248885766","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"1070","29.251800337","78.87.87.87","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"1071","29.263738511","246.214.88.31","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"1072","29.293547901","78.78.78.78","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"1073","29.298280704","61.126.13.16","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"1074","29.298791527","184.217.225.128","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"1075","29.300593569","99.99.99.99","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"1076","29.325999227","124.39.40.25","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"1077","29.367168461","127.127.255.255","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"1078","29.387993524","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"1079","29.424799093","145.221.179.76","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"1080","29.446511181","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"1081","29.456900654","15.222.190.196","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"1082","29.467986417","172.255.1.2","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"1083","29.497885541","192.168.127.127","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"1084","29.558088706","220.195.167.217","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"1085","29.586429036","179.139.191.175","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"1086","29.616417241","12.34.56.78","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"1087","29.684128653","78.87.87.87","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"1088","29.684467845","99.99.99.99","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"1089","29.693496076","148.185.81.166","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"1090","29.710166782","204.173.190.42","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"1091","29.711585417","172.255.1.2","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"1092","29.713762322","117.187.163.21","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"1093","29.714058767","171.187.33.60","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"1094","29.719995497","251.94.12.66","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"1095","29.721254527","99.99.99.99","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"1096","29.758378665","159.62.195.207","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"1097","29.770426462","114.68.156.104","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"1098","29.770851912","11.22.11.144","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"1099","29.809655191","46.185.160.32","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"1100","29.829681897","172.255.1.2","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"1101","29.848393438","127.127.127.0","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"1102","29.876413227","29.76.83.4","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"1103","29.895045584","32.59.194.77","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"1104","29.964025289","12.34.56.78","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"1105","30.049111210","254.44.145.7","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"1106","30.057034030","171.61.121.60","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"1107","30.080604856","78.87.87.87","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"1108","30.099566773","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"1109","30.101855900","34.111.132.117","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"1110","30.107606163","153.205.109.73","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"1111","30.122491015","192.50.104.41","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"1112","30.150619815","92.229.48.214","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"1113","30.170984777","187.25.157.20","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"1114","30.171036317","168.215.68.48","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"1115","30.183861109","3.91.160.107","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"1116","30.185207247","28.248.7.176","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"1117","30.209059329","103.193.134.105","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"1118","30.277649942","57.249.103.253","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"1119","30.278931703","192.168.127.127","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"1120","30.304960598","73.12.194.88","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"1121","30.308411648","99.99.99.99","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"1122","30.372312161","8.10.181.29","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"1123","30.383600691","71.227.41.186","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"1124","30.407582760","78.78.78.78","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"1125","30.417339495","127.127.255.255","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"1126","30.429362831","192.168.127.127","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"1127","30.458734264","172.255.1.2","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"1128","30.460561873","99.99.99.99","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"1129","30.503755801","245.25.244.69","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"1130","30.530124022","127.127.255.255","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
